"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 14 16:10:53 UTC 2025","Sun Dec 14 16:10:53 UTC 2025","15","","GET Operations","","com.utc.worlder.controller.CountryControllerTest$GetOperations","shouldReturnTotalCountriesCount","Should return total countries count",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","21","","Find Operations","","com.utc.worlder.repository.CountryRepositoryTest$FindOperations","shouldFindCountriesByContinent","Should find countries by continent [3] continent=NonExistent, expectedCount=0",""
"passed","Sun Dec 14 16:10:57 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","452","","Find Operations","","com.utc.worlder.repository.CountryRepositoryTest$FindOperations","shouldFindCountriesByContinent","Should find countries by continent [1] continent=Europe, expectedCount=3",""
"passed","Sun Dec 14 16:10:59 UTC 2025","Sun Dec 14 16:10:59 UTC 2025","4","","Search Operations","","com.utc.worlder.service.CountryServiceTest$SearchOperations","shouldFindCountryByIsoCode","Should find countries by ISO codes [1] isoCode=FRA, expectedName=France",""
"passed","Sun Dec 14 16:10:53 UTC 2025","Sun Dec 14 16:10:53 UTC 2025","17","","GET Operations","","com.utc.worlder.controller.CountryControllerTest$GetOperations","shouldReturnCountryById_WithHttp200","Should return country by ID with HTTP 200",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","10","","Search Operations","","com.utc.worlder.service.CountryServiceTest$SearchOperations","shouldFindCountryByName","Should find countries by valid names Should find country with name: 'France'",""
"passed","Sun Dec 14 16:10:53 UTC 2025","Sun Dec 14 16:10:53 UTC 2025","26","","GET Operations","","com.utc.worlder.controller.CountryControllerTest$GetOperations","shouldReturnAllContinents","Should return all continents",""
"passed","Sun Dec 14 16:10:57 UTC 2025","Sun Dec 14 16:10:57 UTC 2025","27","","Statistics Operations","","com.utc.worlder.repository.CountryRepositoryTest$StatisticsOperations","shouldCheckIfCountryExistsById","Should check if country exists by ID",""
"passed","Sun Dec 14 16:10:57 UTC 2025","Sun Dec 14 16:10:57 UTC 2025","219","","Custom Query Operations","","com.utc.worlder.repository.CountryRepositoryTest$CustomQueryOperations","shouldFindCountriesWithLargeArea","Should find countries with area greater than threshold",""
"passed","Sun Dec 14 16:10:53 UTC 2025","Sun Dec 14 16:10:53 UTC 2025","52","","GET Operations","","com.utc.worlder.controller.CountryControllerTest$GetOperations","shouldReturnCountryByName","Should return country by name Should find country by name: 'France'",""
"passed","Sun Dec 14 16:10:53 UTC 2025","Sun Dec 14 16:10:53 UTC 2025","29","","POST/PUT/DELETE Operations","","com.utc.worlder.controller.CountryControllerTest$CrudOperations","shouldDeleteCountry_WithHttp204","Should delete country with HTTP 204",""
"passed","Sun Dec 14 16:10:53 UTC 2025","Sun Dec 14 16:10:53 UTC 2025","14","","GET Operations","","com.utc.worlder.controller.CountryControllerTest$GetOperations","shouldReturnEmptyArray_WhenNoCountriesExist","Should return empty array when no countries exist",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","3","","Advanced Queries","","com.utc.worlder.service.CountryServiceTest$AdvancedQueries","shouldFindCountriesWithLargeArea","Should find countries with area greater than threshold",""
"passed","Sun Dec 14 16:10:54 UTC 2025","Sun Dec 14 16:10:57 UTC 2025","2399","","Statistics Operations","","com.utc.worlder.repository.CountryRepositoryTest$StatisticsOperations","shouldDeleteCountryAndVerifyRemoval","Should delete country and verify removal",""
"passed","Sun Dec 14 16:10:59 UTC 2025","Sun Dec 14 16:10:59 UTC 2025","4","","Basic CRUD Operations","","com.utc.worlder.service.CountryServiceTest$BasicCrudOperations","shouldReturnEmpty_WhenCountryNotFoundById","Should return empty when country not found by ID",""
"passed","Sun Dec 14 16:10:53 UTC 2025","Sun Dec 14 16:10:53 UTC 2025","19","","POST/PUT/DELETE Operations","","com.utc.worlder.controller.CountryControllerTest$CrudOperations","shouldReturnHttp404_WhenUpdatingNonExistentCountry","Should return HTTP 404 when updating non-existent country",""
"passed","Sun Dec 14 16:10:53 UTC 2025","Sun Dec 14 16:10:53 UTC 2025","18","","GET Operations","","com.utc.worlder.controller.CountryControllerTest$GetOperations","shouldReturnCountryByName","Should return country by name Should find country by name: 'Spain'",""
"passed","Sun Dec 14 16:10:59 UTC 2025","Sun Dec 14 16:10:59 UTC 2025","4","","Search Operations","","com.utc.worlder.service.CountryServiceTest$SearchOperations","shouldFindCountryByIsoCode","Should find countries by ISO codes [3] isoCode=GBR, expectedName=United Kingdom",""
"passed","Sun Dec 14 16:10:57 UTC 2025","Sun Dec 14 16:10:57 UTC 2025","61","","Persistence Constraints","","com.utc.worlder.repository.CountryRepositoryTest$PersistenceConstraints","shouldEnforceUniqueNameConstraint","Should enforce unique country name constraint",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","4","","Advanced Queries","","com.utc.worlder.service.CountryServiceTest$AdvancedQueries","shouldFindCountriesWithHighPopulation","Should find countries with population greater than threshold",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","5","","Persistence Operations","","com.utc.worlder.service.CountryServiceTest$PersistenceOperations","shouldReturnTotalCountOfCountries","Should return total count of countries",""
"passed","Sun Dec 14 16:10:53 UTC 2025","Sun Dec 14 16:10:53 UTC 2025","65","","Filtered Operations","","com.utc.worlder.controller.CountryControllerTest$FilteredOperations","shouldReturnCountriesWithMinimumPopulation","Should return countries with minimum population",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","4","","Search Operations","","com.utc.worlder.service.CountryServiceTest$SearchOperations","shouldFindCountriesByContinent","Should find countries by continent [3] continent=North America, expectedCountryNames=[USA, Canada, Mexico]",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","6","","Persistence Operations","","com.utc.worlder.service.CountryServiceTest$PersistenceOperations","shouldCheckIfCountryExists","Should check if country exists by ID",""
"passed","Sun Dec 14 16:10:53 UTC 2025","Sun Dec 14 16:10:53 UTC 2025","21","","POST/PUT/DELETE Operations","","com.utc.worlder.controller.CountryControllerTest$CrudOperations","shouldUpdateExistingCountry_WithHttp200","Should update existing country with HTTP 200",""
"passed","Sun Dec 14 16:10:59 UTC 2025","Sun Dec 14 16:10:59 UTC 2025","4","","Search Operations","","com.utc.worlder.service.CountryServiceTest$SearchOperations","shouldFindCountryByIsoCode","Should find countries by ISO codes [4] isoCode=USA, expectedName=United States",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","5","","Search Operations","","com.utc.worlder.service.CountryServiceTest$SearchOperations","shouldFindCountryByName","Should find countries by valid names Should find country with name: 'United Kingdom'",""
"passed","Sun Dec 14 16:10:53 UTC 2025","Sun Dec 14 16:10:53 UTC 2025","39","","GET Operations","","com.utc.worlder.controller.CountryControllerTest$GetOperations","shouldReturnCountriesByContinent","Should return countries by continent",""
"passed","Sun Dec 14 16:10:52 UTC 2025","Sun Dec 14 16:10:53 UTC 2025","387","","POST/PUT/DELETE Operations","","com.utc.worlder.controller.CountryControllerTest$CrudOperations","shouldCreateNewCountry_WithHttp201","Should create new country with HTTP 201",""
"passed","Sun Dec 14 16:10:53 UTC 2025","Sun Dec 14 16:10:53 UTC 2025","18","","GET Operations","","com.utc.worlder.controller.CountryControllerTest$GetOperations","shouldReturnHttp404_WhenCountryNotFoundById","Should return HTTP 404 when country not found by ID",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","628","","Persistence Operations","","com.utc.worlder.service.CountryServiceTest$PersistenceOperations","shouldSaveNewCountry","Should save new country successfully",""
"passed","Sun Dec 14 16:10:58 UTC 2025","Sun Dec 14 16:10:58 UTC 2025","25","","Find Operations","","com.utc.worlder.repository.CountryRepositoryTest$FindOperations","shouldFindCountryByIsoCode","Should find country by ISO code",""
"passed","Sun Dec 14 16:10:51 UTC 2025","Sun Dec 14 16:10:52 UTC 2025","1468","","Error Handling","","com.utc.worlder.controller.CountryControllerTest$ErrorHandling","shouldHandleServiceExceptionGracefully","Should handle service exception gracefully",""
"passed","Sun Dec 14 16:10:59 UTC 2025","Sun Dec 14 16:10:59 UTC 2025","6","","Basic CRUD Operations","","com.utc.worlder.service.CountryServiceTest$BasicCrudOperations","shouldReturnAllCountries_WhenRepositoryHasData","Should return all countries when repository has data",""
"passed","Sun Dec 14 16:10:52 UTC 2025","Sun Dec 14 16:10:52 UTC 2025","47","","Error Handling","","com.utc.worlder.controller.CountryControllerTest$ErrorHandling","shouldHandleInvalidJson_WithHttp400","Should handle invalid JSON with HTTP 400",""
